Defense,Attack,Epsilon,Accuracy,Precision,Recall,F1_Score,Detection_Rate
adversarial_training_2,blackbox,0.3,0.9775,0.9784262331874509,0.9775,0.9774891047266878,0.0
adversarial_training_3,blackbox,0.3,0.9750033333333333,0.9761650338223994,0.9750033333333333,0.9749880779281483,0.0
ood_denoising,blackbox,0.3,0.9464433333333333,0.9469915239170619,0.9464433333333333,0.946426907817913,0.05
combined_defense,blackbox,0.3,0.9041366666666667,0.9043720500374773,0.9041366666666667,0.9041227142194654,0.05
baseline,gan,0.2,0.99117,0.99129089269236,0.99117,0.9911694567637204,0.0
adversarial_training_1,gan,0.2,0.9889966666666666,0.9892136444634283,0.9889966666666666,0.9889954464718672,0.0
adversarial_training_2,gan,0.2,0.98913,0.9893388672490055,0.98913,0.9891288399504695,0.0
adversarial_training_3,gan,0.2,0.98752,0.9877984799462944,0.98752,0.9875182185646499,0.0
ood_denoising,gan,0.2,0.95896,0.9591488379994543,0.95896,0.9589557798497018,0.05
combined_defense,gan,0.2,0.9319333333333333,0.9319467504824946,0.9319333333333333,0.9319328047567722,0.05
baseline,gan,0.3,0.9886033333333333,0.9886094103531556,0.9886033333333333,0.988603297897061,0.0
adversarial_training_1,gan,0.3,0.9914966666666667,0.9915624317120444,0.9914966666666667,0.991496382246636,0.0
adversarial_training_2,gan,0.3,0.99156,0.9916166364214787,0.99156,0.9915597569116209,0.0
adversarial_training_3,gan,0.3,0.9908433333333333,0.9909703870646951,0.9908433333333333,0.9908427409025228,0.0
ood_denoising,gan,0.3,0.9632033333333333,0.9632714602017746,0.9632033333333333,0.9632019804905351,0.05
combined_defense,gan,0.3,0.9244233333333334,0.924745794469564,0.9244233333333334,0.924408986420165,0.05
baseline,gan,0.4,0.9452133333333333,0.9495520035963168,0.9452133333333333,0.9450808257556473,0.0
adversarial_training_1,gan,0.4,0.98216,0.9822991659023993,0.98216,0.9821587129882331,0.0
adversarial_training_2,gan,0.4,0.9746733333333333,0.9751746189877043,0.9746733333333333,0.9746666519769258,0.0
adversarial_training_3,gan,0.4,0.9905066666666666,0.9905182843197207,0.9905066666666666,0.9905066104552522,0.0
ood_denoising,gan,0.4,0.9266366666666667,0.9288322360457011,0.9266366666666667,0.9265426434629981,0.05
combined_defense,gan,0.4,0.9027966666666667,0.9049661774081112,0.9027966666666667,0.902666306091995,0.05
baseline,gan,0.5,0.84102,0.8777196348317814,0.84102,0.8370621981838399,0.0
adversarial_training_1,gan,0.5,0.9324133333333333,0.9390631218910132,0.9324133333333333,0.9321564538469751,0.0
adversarial_training_2,gan,0.5,0.91505,0.9256867098950936,0.91505,0.9145159989975025,0.0
adversarial_training_3,gan,0.5,0.9646966666666666,0.9660385760920964,0.9646966666666666,0.9646712352942549,0.0
ood_denoising,gan,0.5,0.82659,0.8548621158719517,0.82659,0.8230658834336444,0.05
combined_defense,gan,0.5,0.8742233333333334,0.8811485131782479,0.8742233333333334,0.8736494096978603,0.05
baseline,noise,0.4,0.90764,0.9089994761581763,0.90764,0.9075631871612816,0.0
adversarial_training_1,noise,0.4,0.9148333333333334,0.9148337705865646,0.9148333333333334,0.9148333108909645,0.0
adversarial_training_2,noise,0.4,0.91173,0.9117828290100446,0.91173,0.9117271687950798,0.0
adversarial_training_3,noise,0.4,0.9107866666666666,0.9110766539505388,0.9107866666666666,0.9107709303707133,0.0
ood_denoising,noise,0.4,0.88306,0.8839539924009009,0.88306,0.8829918900420257,0.05
combined_defense,noise,0.4,0.7968233333333333,0.8000390834339505,0.7968233333333333,0.7962774704933483,0.05
baseline,noise,0.6,0.8135166666666667,0.8222961432285594,0.8135166666666667,0.8122379884898554,0.0
adversarial_training_1,noise,0.6,0.82478,0.8264781087588098,0.82478,0.824551860643819,0.0
adversarial_training_2,noise,0.6,0.8226766666666666,0.8244730637766737,0.8226766666666666,0.8224308953978431,0.0
adversarial_training_3,noise,0.6,0.82123,0.8212927935920968,0.82123,0.8212212648531227,0.0
ood_denoising,noise,0.6,0.7959633333333334,0.8033746827876849,0.7959633333333334,0.7947095377451224,0.05
combined_defense,noise,0.6,0.7146733333333334,0.7168143882916701,0.7146733333333334,0.7139671855767277,0.05
baseline,noise,0.8,0.7444233333333333,0.7583047636893605,0.7444233333333333,0.740942867573971,0.0
adversarial_training_1,noise,0.8,0.75551,0.759164834283491,0.75551,0.7546449791491664,0.0
adversarial_training_2,noise,0.8,0.7537933333333333,0.7568607953638871,0.7537933333333333,0.7530560749355131,0.0
adversarial_training_3,noise,0.8,0.7523666666666666,0.7527027152298721,0.7523666666666666,0.7522843124853938,0.0
ood_denoising,noise,0.8,0.73195,0.7441394976292695,0.73195,0.7285618813880559,0.05
combined_defense,noise,0.8,0.66047,0.661312918422713,0.66047,0.6600258780203961,0.05
baseline,noise,1.0,0.6964866666666667,0.7123902005501772,0.6964866666666667,0.6906965958975274,0.0
adversarial_training_1,noise,1.0,0.7070466666666667,0.7118515357643551,0.7070466666666667,0.7053761227666043,0.0
adversarial_training_2,noise,1.0,0.7066166666666667,0.7102164851478568,0.7066166666666667,0.7053552675517178,0.0
adversarial_training_3,noise,1.0,0.7055266666666666,0.7060705320079309,0.7055266666666666,0.7053322434533956,0.0
ood_denoising,noise,1.0,0.6862233333333333,0.7003915812263818,0.6862233333333333,0.6805773129452022,0.05
combined_defense,noise,1.0,0.62582,0.6261243095051918,0.62582,0.6255941607939883,0.05
