Defense,Attack,Epsilon,Accuracy,F1,Precision,Recall,Detection_Rate
adversarial_training_2,pgd,0.4,0.16834945265171644,0.20291331363960477,0.17625199079808884,0.23907825252040327,0
adversarial_training_3,pgd,0.4,0.2530555850781167,0.3640969960188201,0.2921870461806564,0.4829572731637062,0
ood_denoising,pgd,0.4,0.21830162610266765,0.3058046248230297,0.25198320111992534,0.3888622179548728,0.10001062812201084
combined_defense,pgd,0.4,0.8215538314379849,0.8000476360604978,0.793902150791775,0.8062890062409985,0.10001062812201084
baseline,pgd,0.5,0.09745987883940907,0.16483084185680566,0.13962012662445852,0.20115218434949592,0
adversarial_training_1,pgd,0.5,0.09862897226060155,0.165338057277827,0.14011676396997497,0.2016322611617859,0
adversarial_training_2,pgd,0.5,0.10064831544266128,0.1515941447764187,0.13016528925619836,0.1814690350456073,0
adversarial_training_3,pgd,0.5,0.10681262620894888,0.16726119698771305,0.14242321970975363,0.20259241478636583,0
ood_denoising,pgd,0.5,0.18514188542884472,0.25469038592398174,0.2140173174317922,0.314450312049928,0.10001062812201084
combined_defense,pgd,0.5,0.18333510468700182,0.25499321310839634,0.21389069616135328,0.3156505040806529,0.10001062812201084
baseline,pgd,0.7,0.04516951854607291,0.0715171558495246,0.06279491833030854,0.08305328852616418,0
adversarial_training_1,pgd,0.7,0.04485067488574769,0.07072691552062868,0.06212534059945504,0.08209313490158425,0
adversarial_training_2,pgd,0.7,0.04538208098628972,0.07057119205298014,0.06202255365587486,0.08185309649543927,0
adversarial_training_3,pgd,0.7,0.044956956105856094,0.07034967928822677,0.06181818181818182,0.08161305808929428,0
ood_denoising,pgd,0.7,0.12541183972792008,0.16769495296854456,0.14490473693410244,0.19899183869419107,0.10001062812201084
combined_defense,pgd,0.7,0.124349027526836,0.16414730648270265,0.142154278685644,0.1941910705712914,0.10001062812201084
baseline,pgd,1,0.02890849186948666,0.04053344534285414,0.036027627403397426,0.04632741238598176,0
adversarial_training_1,pgd,1,0.029121054309703475,0.04054195987816406,0.036041083099906626,0.04632741238598176,0
adversarial_training_2,pgd,1,0.02890849186948666,0.03932288928608979,0.03498596819457437,0.04488718194911186,0
adversarial_training_3,pgd,1,0.030183866510787544,0.040584586268531175,0.036108512628624884,0.04632741238598176,0
ood_denoising,pgd,1,0.10532468912743119,0.1630542851461523,0.13917175831636117,0.19683149303888622,0.10001062812201084
combined_defense,pgd,1,0.10330534594537145,0.16241437506204706,0.13847976976468596,0.19635141622659624,0.10001062812201084
baseline,blackbox,0.05,0.9899032840897013,0.9887159995248842,0.9786033388196567,0.9990398463754201,0
adversarial_training_1,blackbox,0.05,0.9996811563396748,0.9996400719856029,0.9992804029743344,1,0
adversarial_training_2,blackbox,0.05,0.9981932192581571,0.9979555021046301,1,0.9959193470955353,0
adversarial_training_3,blackbox,0.05,0.9993623126793496,0.9992793658419409,1,0.9985597695631301,0
ood_denoising,blackbox,0.05,0.9603571048995643,0.9566026759744037,0.9282004967261233,0.9867978876620259,0.10001062812201084
combined_defense,blackbox,0.05,0.8851100010628122,0.8702125105054629,0.8705260629353831,0.8698991838694191,0.10001062812201084
baseline,blackbox,0.1,0.984589223084281,0.9828503843879361,0.9687572860806715,0.9973595775324052,0
adversarial_training_1,blackbox,0.1,0.9997874375597832,0.9997600191984641,0.9995201535508638,1,0
adversarial_training_2,blackbox,0.1,0.9977680943777234,0.997473836160231,0.9997588618278274,0.9951992318771004,0
adversarial_training_3,blackbox,0.1,0.9988309065788076,0.9986783611678481,0.9997594419052201,0.9975996159385502,0
ood_denoising,blackbox,0.1,0.9544053565734935,0.9502262443438914,0.9196047608353919,0.9829572731637062,0.10001062812201084
combined_defense,blackbox,0.1,0.8807524710383675,0.8652090341182124,0.8660413660413661,0.8643783005280845,0.10001062812201084
baseline,blackbox,0.2,0.965777447125093,0.9625058220773172,0.9346449570330168,0.9920787325972156,0
adversarial_training_1,blackbox,0.2,0.996599000956531,0.9961722488038277,0.9928469241773963,0.99951992318771,0
adversarial_training_2,blackbox,0.2,0.9945796577744712,0.9938442969221485,0.9995144452537024,0.9882381180988958,0
adversarial_training_3,blackbox,0.2,0.994260814114146,0.9935033686236766,0.9958996623251326,0.9911185789726357,0
ood_denoising,blackbox,0.2,0.9352747369539802,0.9306615051804623,0.8852068442711718,0.9810369659145464,0.10001062812201084
combined_defense,blackbox,0.2,0.8623658199596131,0.8451142207869872,0.8421930870083433,0.8480556889102256,0.10001062812201084
baseline,blackbox,0.3,0.9438835157827612,0.9396433470507545,0.8969882147533828,0.986557849255881,0
adversarial_training_1,blackbox,0.3,0.9768306940163674,0.974437148217636,0.952544704264099,0.9973595775324052,0
adversarial_training_2,blackbox,0.3,0.9819321925815708,0.9793488824101069,0.9913920314805705,0.9675948151704272,0
adversarial_training_3,blackbox,0.3,0.9776809437772346,0.9749403341288783,0.9693877551020408,0.9805568891022564,0
ood_denoising,blackbox,0.3,0.9100860877882878,0.9051569506726458,0.849179638199411,0.9690350456072971,0.10001062812201084
combined_defense,blackbox,0.3,0.8347327027314274,0.8163458131569623,0.8035340618460823,0.8295727316370619,0.10001062812201084
baseline,gan,0.2,0.9878839409076416,0.9864960909737029,0.9738072965388214,0.99951992318771,0
adversarial_training_1,gan,0.2,0.9998937187798916,0.999879995199808,0.9997600191984641,1,0
adversarial_training_2,gan,0.2,0.9973429694972898,0.9969904899482365,1,0.9939990398463754,0
adversarial_training_3,gan,0.2,0.9981932192581571,0.9979555021046301,1,0.9959193470955353,0
ood_denoising,gan,0.2,0.9565309809756616,0.9527768156102067,0.917908787541713,0.9903984637542007,0.10001062812201084
combined_defense,gan,0.2,0.8886172813263896,0.8753864447086801,0.8673421300659755,0.8835813730196832,0.10001062812201084
baseline,gan,0.3,0.9853331916250399,0.9836763662171752,0.9696828358208955,0.9980796927508402,0
adversarial_training_1,gan,0.3,0.9997874375597832,0.9997600191984641,0.9995201535508638,1,0
adversarial_training_2,gan,0.3,0.9973429694972898,0.99699121434589,0.9997586290127927,0.9942390782525204,0
adversarial_training_3,gan,0.3,0.9970241258369646,0.9966297544535387,0.9995171414775471,0.9937590014402304,0
ood_denoising,gan,0.3,0.9539802316930598,0.949959551600601,0.91597949632271,0.986557849255881,0.10001062812201084
combined_defense,gan,0.3,0.8805399085981507,0.8666033705198196,0.8570422535211267,0.8763802208353336,0.10001062812201084
baseline,gan,0.4,0.9797002869592943,0.9775426219870664,0.9580548513482369,0.9978396543446951,0
adversarial_training_1,gan,0.4,0.9984057816983739,0.9982029471666467,0.996412341545085,1,0
adversarial_training_2,gan,0.4,0.9958550324157721,0.9953006386311604,0.999274135010888,0.9913586173787806,0
adversarial_training_3,gan,0.4,0.9952173450951217,0.9945802721907744,0.9980662315687696,0.9911185789726357,0
ood_denoising,gan,0.4,0.9467531087256882,0.9423939289410141,0.9044361068196866,0.9836773883821411,0.10001062812201084
combined_defense,gan,0.4,0.8721436922095865,0.8564267812388113,0.8516496558272015,0.8612578012481997,0.10001062812201084
baseline,gan,0.5,0.9743862259538739,0.9717897694018495,0.9483664610463788,0.9963994239078252,0
adversarial_training_1,gan,0.5,0.9963864385163141,0.9959349593495935,0.9921391138637446,0.999759961593855,0
adversarial_training_2,gan,0.5,0.9919226272717611,0.9908034849951597,0.9990239141044412,0.9827172347575612,0
adversarial_training_3,gan,0.5,0.9901158465299181,0.9887938305819979,0.9927413501088798,0.9848775804128661,0
ood_denoising,gan,0.5,0.9394197045382081,0.9348869088416724,0.8918918918918919,0.9822371579452712,0.10001062812201084
combined_defense,gan,0.5,0.9427144223615687,0.9382376532599978,0.8976101732076299,0.9827172347575612,0.10001062812201084
baseline,noise,0.4,0.7968965883728345,0.7935616290374852,0.7214692594775093,0.8816610657705233,0
adversarial_training_1,noise,0.4,0.8245297056010203,0.8162901969511517,0.7608380004148517,0.8804608737397984,0
adversarial_training_2,noise,0.4,0.8301626102667659,0.805973773676542,0.8154791154791154,0.7966874699951992,0
adversarial_training_3,noise,0.4,0.8349452651716441,0.8219240912739365,0.786827661909989,0.8602976476236198,0
ood_denoising,noise,0.4,0.7670315655223722,0.767451729259495,0.6876425855513308,0.8682189150264042,0.10001062812201084
combined_defense,noise,0.4,0.7086831756828569,0.6833776134919718,0.6586506346025384,0.7100336053768603,0.10001062812201084
baseline,noise,0.6,0.7115527686257839,0.7104757840836355,0.6394009216589862,0.799327892462794,0
adversarial_training_1,noise,0.6,0.7349346370496334,0.7238706820194862,0.6718043567612002,0.7846855496879501,0
adversarial_training_2,noise,0.6,0.7358911680306089,0.7020026382060199,0.7014138509465613,0.7025924147863658,0
adversarial_training_3,noise,0.6,0.7358911680306089,0.7169381478528306,0.6822024712768263,0.7554008641382621,0
ood_denoising,noise,0.6,0.6888085875225848,0.6926306949401637,0.6154850746268656,0.7918867018722996,0.10001062812201084
combined_defense,noise,0.6,0.6921033053459453,0.6967444781743954,0.6177835529979581,0.7988478156505041,0.10001062812201084
baseline,noise,0.8,0.6597938144329897,0.6626620297186215,0.5906443734736051,0.7546807489198272,0
adversarial_training_1,noise,0.8,0.6859389945796578,0.6736609607951408,0.6238494579668644,0.7321171387421987,0
adversarial_training_2,noise,0.8,0.6916781804655118,0.6582636352927318,0.6463104325699746,0.670667306769083,0
adversarial_training_3,noise,0.8,0.6845573387182485,0.6654643823264202,0.6272843178920527,0.7085933749399904,0
ood_denoising,noise,0.8,0.6432139440960782,0.6530232558139535,0.5734253040479216,0.758281325012002,0.10001062812201084
combined_defense,noise,0.8,0.6443830375172707,0.6545529630394383,0.5742753623188406,0.7609217474795967,0.10001062812201084
baseline,noise,1,0.6284408545010097,0.633696563285834,0.5622908144291558,0.7258761401824292,0
adversarial_training_1,noise,1,0.6414071633542353,0.6289045314562253,0.5803897685749086,0.6862698031685069,0
adversarial_training_2,noise,1,0.6435327877564034,0.6107242339832869,0.5912359550561798,0.6315410465674508,0
adversarial_training_3,noise,1,0.6494845360824743,0.6311787072243346,0.5908710217755444,0.6773883821411426,0
ood_denoising,noise,1,0.6100542034222552,0.6242703533026114,0.5443829255224147,0.7316370619299087,0.10001062812201084
combined_defense,noise,1,0.6105856095227973,0.6246670764187666,0.5448534667619729,0.7318771003360538,0.10001062812201084
